,similarity
anthrax symptoms,2.448647082019916
cold flu symptoms symptoms vs,2.806129042574396
flu for remedy,2.706146436961533
flu from recover,2.7102654295163404
flu safety shot,2.583516913562969
plague,2.2061938437640203
infection staph symptoms,2.6699350387034855
exposed flu to,2.467362694831891
bad flu shot,2.581798304440875
effects h1n1 side vaccine,2.245860579865674
b hepatitis virus,2.264657382324035
nhs swine,2.194307743449722
flu incubation period,2.7196636053529186
cold flu symptoms versus,2.867136121434281
human immunodeficiency virus,2.047619202441157
flu for remedies,2.7002272103244884
and flu pregnancy,2.631345111467702
a flu is the virus,2.315970745056061
and flu rash,2.678624276698802
pneumonia recommendations vaccine,2.434815481059116
flu or strep,2.526450465483428
back flu pain,2.870455081564638
cold flu or,2.681063408916473
effects flu side,2.624003651231861
encephalitis symptoms,2.5354763718584192
ebola fever hemorrhagic,2.316470770322412
disease prevention,2.269608788683687
flu reactions shot,2.544566776786637
rsv virus,2.2193254285452597
flu from recovery,2.684673196128428
flu how long symptoms,2.528416928391159
norwalk virus,2.2193254285452597
epidemic obesity,2.0987284303001816
flu ingredients shot,2.6594717387685636
infection prostate symptoms,2.64020779772884
meningitis viral,2.129405614699593
flu of types,2.3868544419957787
flu nc,2.8112858301342234
influenza la,1.9266390963666435
hpv vaccine,2.1754738763494195
flu nhs stomach,2.755777327891953
infection stomach,2.731223732278089
origin virus,2.0212603663409316
deaths flu per year,2.4200809973402855
baby flu with,2.7381767149870946
pandemic the,1.950971184802132
epidemic pandemic vs,2.0108836128866856
infection norovirus,2.735332677638031
salmonella symptoms,2.4582589462283684
flu recovery time,2.7973758269381195
duration flu of,2.5195730331529913
after cough flu lingering,2.7574010190153175
communicable disease,2.2338079879869426
flu for pregnant vaccine women,2.439098006547064
flu in toddlers,2.6015106116186937
flu sick the with,2.451746678008554
after cough flu the,2.535576627690537
antibiotics flu for the,2.5803150106944788
flu in uk,2.4446250765960706
h1n1 map,1.8105800380146622
cow disease mad,2.163850087630457
flu jab the,2.527074463651993
infection mouth,2.495514371188547
bird flu is the what,2.153195033199664
flu home remedies,2.848566605005915
airborne virus,2.18623548643572
bacterial infection,2.6183424435548277
disease liver symptoms,2.51424746031769
flu of sign,2.383628722481671
around flu going,2.6245141452150995
deaths flu in us,2.344426270553891
flu natural remedies,2.6357594169507528
influenza mortality rate,2.181925487669344
cold flu symptoms vs,2.8444381240693972
a flu got,2.683276024229186
disease lyme symptoms,2.470947558613126
infection lung symptoms,2.6724078584097555
flu free jab,2.703469201174275
ct flu in,2.595046137600466
12 flu game,2.56817326973849
flu shots target,2.5491130646900344
flu is what,2.2593237314505634
flu infection sinus vs,2.8768145106872236
cough outbreak whooping,2.303920536398302
efficacy flu shot,2.6813740495710983
availability flu shot,2.6844303405147145
flu how is spread,2.227408560337934
acute hepatitis,2.3649660928627574
cures flu for,2.6488177440032725
flu pregnant whilst,2.657291530207738
flu jab reactions,2.656891867508383
flu new york,2.506167554866048
fever medication,2.8117852544820576
antiviral,1.998667554963358
deaths flu from the,2.297239884735612
malaria medication,2.4932982313658254
does flu how spread,2.2022200146095576
children h1n1 in symptoms,2.302627363778961
cost flu jab,2.6632374773236793
accuracy flu test,2.6135452383797335
are flu of swine symptoms the what,2.1975533572371027
facts virus,1.9529741835658827
cough fever,2.755360676238627
best flu remedies,2.661864375919528
flu for medicine stomach,2.8156067198924974
last stomach virus,2.414980835890928
pneumonia prevent,2.360855800190648
encephalitis viral,1.879513591635372
and cold flu severe,2.7589082479853695
fever hemorrhagic viral,2.3662331775976186
flu in texas,2.4804823942747385
flu in kids,2.53086964307555
cold flu versus,2.8591783717868027
flu foods for,2.6585528031389187
outbreak zombie,2.0443269449981964
symptoms tb,2.4606245667542024
effects flu of side vaccine,2.4412960345887393
flu free jabs,2.743927601301668
chest contagious infection,2.5760882685694084
flu of stomach symptoms the,2.5305012270109484
flu got i,2.683276024229186
flu history of,2.32825911734761
flu how long,2.436519536800153
c flu type,2.5633793337786837
pregnancy vaccine,2.2587791856430623
rubella vaccine,2.1754738763494195
eye infection symptoms,2.604946351053428
infection liver,2.7150174864006575
diarrhea flu the with,2.417576325951985
infections mouth,2.363717991913457
flu kit test,2.7006619302340718
bacterial infections,2.461850826566364
fever treat,2.663893607688053
c hepatitis virus,2.264657382324035
contagious flu is stomach the,2.416735362605798
flu in spanish,2.4853303756778873
pneumonia treatment,2.5792433995120625
chicken pox vaccine,2.334946797666119
attenuated influenza live vaccine,2.1125008187867533
flu in massachusetts,2.4464018097680493
infection strep,2.560377725761511
breast infection,2.554240586134431
cancer symptoms,2.278067130674834
flu medicine otc,2.8516537247471696
cough symptoms,2.6239398803105316
health,2.299643676155713
flu for medication the,2.5550576808031904
infection staph,2.6226708400099352
infection kidney symptoms,2.677947878989776
infection mrsa,2.6477574337951366
bacterial pneumonia,2.5579683973249403
cmv virus,2.2193254285452597
meningitis,2.4283035310751253
california flu in,2.4802242415099496
clinic flu mayo,2.771070019526053
flu of signs stomach,2.5455414588346477
chest infection symptoms,2.742783056130385
flu spanish the,2.366025653535034
a influenza treatment,2.4021445183408825
chest contagious infections,2.4688178089107065
pandemic who,1.8882875057984772
bug symptoms,2.5813407384320795
risks vaccine,2.170478602616454
flu mist nasal,2.8474338100129324
diagnosed,2.286220523297614
flu in minnesota,2.5295303045698763
sick,2.3753605252144525
for h1n1 treatment,2.3039005530365104
fever vaccine yellow,2.4881695891307736
herpes symptoms,2.4065210818611917
disease treatment,2.34287269160128
causes pneumonia,2.3470424353627557
mild pneumonia,2.6240515190895373
flu how to treat,2.400987967236998
infection prostate,2.590958199767958
flu google trends,2.260557190128577
infection intestinal,2.6872494527612165
flu kids with,2.580021440825783
influenza wikipedia,1.6639363915365641
cold flu sweats,2.8650919944112148
breastfeeding flu while,2.634861420877526
flu jab uk,2.631571690334963
colds,2.7222742114809697
flu in maryland,2.5449481144506083
of pneumonia symptoms,2.4572173510417237
children in influenza,2.1440828101142326
measles single vaccine,2.1060197609838993
florida flu in,2.545219604480212
colorado flu in,2.5272892169869907
malaria prevention,2.257084664159064
contagious ear infection,2.5073463024766305
gastroenteritis symptoms,2.5354763718584192
influenza of signs,2.005394631183037
flu strep vs,2.6260208511829957
flu for like medicine symptoms,2.627107856180944
children flu in of symptoms,2.4525812669878806
influenza wiki,1.70930240172416
contagious infection sinus,2.6451706434336053
b influenza treatment,2.4021445183408825
a influenza of symptoms,2.313814891375318
cold flu vs,2.815522110418079
contagious infection respiratory upper,2.54980659948791
antibiotics,2.670457210978942
influenza rapid test,2.2706642574362292
after contagious fever,2.5206616519308778
virus vomiting winter,2.503258478366715
first flu of symptoms the,2.3862931692431255
chicken infected pox,2.369106617371201
hiv tests,2.1693325660193774
chronic disease,2.306975332990103
flu for soup,2.747089285753685
do flu get how swine you,2.264090725698397
fever pneumonia with,2.673314658898349
contagious is pneumonia,2.2170953670043576
flu in indiana,2.498583309647206
fatal fever,2.5434170627103874
a contagious influenza is,2.0337423865315327
flu of symptom the,2.3606003127279362
24 flu hour,2.618199605965712
infections staph,2.4482528881509937
beat flu the,2.3975951809625595
for influenza test,2.2902798830092554
b influenza of symptoms,2.313814891375318
infections mrsa,2.4946243698481627
eye strain symptoms,2.4804629608061286
de influenza la virus,1.8919667497798576
bird flue,2.046221198429041
fever hemorrhagic,2.7364772677582385
chest infection viral,2.4861896853359178
died flu from how many people swine,2.1277557731121615
hiv prevention,2.126356520653237
after effects flu of,2.4783971837717327
flu food or poisoning,2.547079134183784
nile symptoms virus west,2.269936759554979
early flu of symptoms the,2.511924280550857
infection respiratory symptoms upper,2.701264327725775
pneumonia strep,2.4998508826897274
flu georgia in,2.5257151335843915
diagnosis symptoms,2.4902155448389345
allergies symptoms,2.6970193031253906
flu map of,2.329826986408767
effectiveness vaccine,2.1379543560735312
ear infection symptoms,2.6832323827947335
disease kidney symptoms,2.4664329893878176
arizona flu in,2.539687697948769
drugs hiv,2.0526644103245877
infection sinus symptoms,2.793413008419372
flu pregnant the with,2.4230140688218276
contagious infections sinus,2.5390141721020516
cough viral,2.156752774407843
flu pregnant the while,2.432292851709479
and cold flu medicine,2.8270164802008066
mrsa pneumonia,2.5925175771124023
does flu the vaccine work,2.4009012533993936
alzheimer disease,2.212407806448811
disease heart symptoms,2.3985405839107097
flu nj shots,2.6375560576126977
acute,2.3310710023276893
cough vaccine whooping,2.353438413692699
a hepatitis vaccine,2.2322911884845538
flu gestation period,2.7196636053529186
crisis ebola,1.9792170499580137
contagious flu is the when,2.193399408707753
el virus,2.0390917799688304
patients,2.3279267176495577
symptoms tetanus,2.5354763718584192
aids hiv of symptoms,2.154435002044641
cjd disease,2.2338079879869426
disease liver,2.4073069679812837
hiv medications,2.224586177104769
flu of symptoms the the,2.29758249462134
cure flu how to,2.3449561259274017
bubonic plague symptoms,2.4594553063776603
hiv testing,2.100217934976913
acute bronchitis contagious,2.4067039515992352
flu pregnant shot while,2.558787411550098
contagious flu how is the,2.1833364174068453
stomach the virus,2.2648858100030216
flu jab pregnant when,2.47407142902302
flu nyc shots,2.641216990830287
bronchitis contagious,2.343756739741654
flu in wisconsin,2.515788110324949
first flu of signs,2.3417460246484887
cdc schedule vaccine,2.204447669082084
disease lyme,2.328711246273277
infection lung,2.635028047138466
flu map us,2.3313670265612028
dangers vaccine,2.11671631226889
clinical diseases infectious,2.2125153876219437
flu how prevent to,2.301691830895499
cvs flu shots,2.636685749075647
flu people the with,2.212742283902161
early flu in pregnancy,2.663439199154873
flu illinois in,2.5104874998013775
current flu map,2.3659269793099047
flu for remedies stomach,2.766962259029254
cause pneumonia,2.4071272501841574
poisoning salmonella symptoms,2.4363708633637504
shingles vaccine,2.334778587230544
flu for medicine the,2.540655111527079
deaths influenza per year,2.0951543687641028
fever pregnant,2.5976167165244517
infection staff symptoms,2.696524188623411
flu in oregon,2.46102077097063
drug fever,2.472626391053616
chicago flu in,2.5269391751186205
flu for the treatment,2.4598883669753997
colon infection,2.573063776328985
a infection viral,2.3697370615312514
flu shot video,2.4060058370578394
b hepatitis vaccine,2.2322911884845538
flu in oklahoma,2.4982643372252924
boots flu jab,2.805912384193742
allergy symptoms,2.6584752620769887
activity flu map,2.431608503515137
human viruses,2.0014352353637648
flu man video,2.3603423121721465
gastroenteritis viral,1.879513591635372
effective flu how is the vaccine,2.1862619473283256
blood infection,2.5673539966352736
a influenza type,1.9771340362409022
diseases mosquito,2.283053340865306
flu in nj,2.5494723829473025
herpes simplex virus,2.1920874311376823
asthma symptoms,2.6256238646399552
cure ebola,2.040102274039641
bladder infection symptoms,2.7590483970795927
and flu of signs symptoms,2.4431795193343824
flu state washington,2.424927773490498
flu in virginia,2.4968242187360925
cure fever,2.5761310908115096
disease vomiting,2.3900493393335736
effects flu of the,2.325415869251646
anthrax,2.057738212967506
early flu of signs,2.5098447839053426
dystonia flu shot,2.6955871214542837
flu in nyc,2.559088150629734
flu length of,2.4873024122533787
infection lower respiratory,2.591739126217075
safety vaccine,2.14955448023759
after pneumonia,2.5108629902665993
meningococcal vaccine,2.1754738763494195
flu in pa,2.5979380830663765
flu in ohio,2.5231186738520033
flu near you,2.611288328073636
are flu of symptoms what,2.285514219254745
amoxicillin flu for,2.707657057052664
control infection,2.499570383092491
effects flu of shot,2.4555540747715336
humans in rabies symptoms,2.300445769485562
are flu symptoms the what,2.2535956987255417
ebola latest,1.88079044769664
flu in michigan,2.524288909862394
of rabies symptoms,2.3451229663655835
flu jab pregnant while,2.6451069793914384
early hiv symptoms,2.4486074395319846
contagious norovirus,2.294948211566651
b influenza type,1.9771340362409022
syndrome viral,2.0116914120967433
pregnant symptoms,2.464256232317082
disease symptoms thyroid,2.503781189312513
flu in maine,2.561714436865922
flu is stomach what,2.397081167833636
flu jab private,2.5905428385436853
flu from recovering the,2.466690206437747
children flu in the,2.323525884087901
brain infection,2.513785472379226
bronchitis symptoms,2.652197438550144
ebola of symptoms,2.160211689134365
flu of signs the,2.2459419420042717
rabies treatment,2.417503916972623
boots flu jabs,2.826498877977621
incubation influenza period,2.2323880580682194
bacterial meningitis symptoms,2.53786218597326
fever medicine,2.8054911942844405
infections lung,2.5099346091965398
reactions vaccine,2.070496699451495
cure hiv,2.1120196448437505
flu in usa,2.4442418359615297
malaria of symptoms,2.305296873817452
encephalitis,1.998667554963358
days flu how many,2.3697907235507625
ingredients vaccine,2.222758682240337
flu man meme,2.433002335376578
effects h1n1 of side vaccine,2.176619683718116
infection throat,2.720708975438746
disease genetic,2.14247588329641
antiviral medication,2.613442907115516
eye infection,2.5088291036832358
ebola treatment,2.1354740330148063
fever headache,2.7995972870962498
a incubation influenza,2.2861433120443175
flu jab nhs,2.7019899774022687
acute respiratory severe syndrome,2.434266443121782
flu for test the,2.4433083067391186
del virus,2.0300122747274525
by cases flu state,2.339019683665381
hpv vaccination,2.353723842351644
fever treatment,2.703114036601514
flu how stomach to treat,2.5043815398227727
infection skin,2.5271508281488555
flu for ibuprofen,2.848406848892607
dying flu from the,2.369487250765103
malaria treatment,2.3534082520856368
cancer cervical vaccine,2.185401162486597
of smallpox symptoms,2.2839673212779776
flu for tea,2.796680409775262
blood infections,2.4335656925724547
flu is season when,2.3213321185184808
hiv of symptoms,2.2138637827652077
flu how long stomach,2.542941944124608
flu nyc shot,2.6133248078035116
chicken pox vaccination,2.4286960506939845
contagious flu how long with,2.364866014020895
best cure flu for,2.552245213775359
3 pandemic,2.1168654093556953
hiv positive,2.0598359804912993
measles of symptoms,2.299787152532103
cvs flu shot,2.630943335999714
flu food for the,2.4719367895900675
d flu vitamin,2.9021456610975584
aids prevention,2.093243987008738
flu shots walgreens,2.674172523483867
flu sore throat with,2.8541609710368716
contagious flu how is long,2.3259477342989867
cold current virus,2.417327719081038
typhoid,1.998667554963358
disease infectious specialist,2.211739622871332
effects flu jab of,2.5365912707245144
h1n1 incubation period,2.14948822472258
flu in jab pregnancy,2.635686995221069
flu how stop to,2.274310087704571
dose tamiflu,2.421111071328851
aches body flu from,2.7310505692855234
best flu for medicine,2.6911449035710753
gardasil vaccine,2.1754738763494195
salmonella,2.1438293992839013
flu for meds,2.8565028621088873
avoid flu how to,2.3212623438943156
allergy seasonal symptoms,2.653812552803166
of symptoms tuberculosis,2.293822948175643
infection kidney,2.6446637407160867
norovirus symptoms,2.6384347538620405
can flu how live long virus,2.2841594311656057
flu getting shot the,2.4130204967717592
causing fever infections recurrent viral,2.459811843522618
hiv treatment,2.208272709413356
best flu for treatment,2.6057462297470892
fact flu sheet,2.422338510173121
fever mild,2.704369542230565
mumps symptoms,2.5354763718584192
rotavirus symptoms,2.5354763718584192
flu the toddler with,2.429695852628281
disease rare,2.1294406208407075
effectiveness flu of shot,2.4286095057069703
disease lung,2.314159001924558
h1 virus,2.2201547132810227
fever vaccination yellow,2.59168261645306
ebv virus,2.2193254285452597
can dogs flu get,2.457428110713585
flu getting over the,2.4059306467463277
exposure flu the to,2.321511904915268
contagious pneumonia walking,2.3543895206809204
flu shots walmart,2.5891929910545444
heart infection,2.521545556838208
aids testing,2.058573948282967
deadliest disease,2.1122168538265895
carolina flu north,2.5722839520272776
strain stress,2.4375752356237688
flu in the us,2.2614765469169202
does flu how live long virus,2.2821755189035122
chest infection,2.71245231253623
consumption disease,2.1863537870306766
autoimmune disease symptoms,2.4299519097937368
flu is over season,2.413514715521854
bcg vaccine,2.1754738763494195
direct flu nhs,2.52238603240744
flu how last long,2.413788302274471
bug sick,2.4934819623367273
effects pneumonia side vaccine,2.395563910572688
viruses winter,2.376394757254573
counter flu over the,2.3477373086692013
fungal infection,2.6689642777993963
nile virus west,2.060425890440281
flu get over the,2.3831624107179175
flu is it the,2.2547828305185944
and cold flu remedies,2.7685487693041964
flu jab superdrug,2.830331299916677
antibiotics infection sinus,2.8246224860925073
influenza is what,1.8967344657212695
a vaccine,2.1754738763494195
is swine what,1.8432684342402261
infection respiratory upper,2.657390625863714
infections throat,2.6356849507263362
antibiotics for pneumonia,2.6669970298933174
animal diseases,2.1211384897498884
malnutrition symptoms,2.5109986053926048
arkansas flu in,2.526246866443591
eye infections,2.3828905682251036
leukemia symptoms,2.502119863552433
fever treatments,2.7623098263846244
cheerleader flu shot,2.555383328319265
flu how is spread the,2.1438360500536477
for measles symptoms,2.4196918894086865
tamiflu treatment,2.3696310614368348
first flu of sign,2.3246747319182206
blood disease,2.279920642797082
infection symptoms yeast,2.6591193318341113
dog illness symptoms,2.5181342313663255
c hepatitis vaccine,2.2322911884845538
patient,2.275654610714083
communicable diseases,2.2260121432601148
flu of stages the,2.319036066808257
chronic illness,2.4123641844638
infections skin,2.3813985824919146
bronchitis viral,2.198475311397379
chicken pox symptoms,2.5236236583987113
chicken diseases,2.2906731630757755
how influenza to treat,2.1243320012052727
flu in ingredients shot,2.530699293984842
does flu how spread the,2.124675937708196
flu have i the,2.3782418378101555
infection of staph symptoms,2.512824847027279
bk virus,2.3235202611670247
by flu state,2.3820727741647545
flu safeway shots,2.712884797608216
acute cough,2.5339210346418515
asda flu jab,2.8067618133149645
treatment tuberculosis,2.3630366512344567
flu incubation of period,2.5031555111754566
flu for remedy the,2.484526024289515
contagious fever glandular,2.4968360268123
cancer patients,2.1858730360336662
area bay flu,2.6811936107481786
cold contagious,2.4570711731732198
infection urine,2.591140141489725
flu or strep throat,2.617000005674391
de virus,1.880681977423708
exposed flu the to,2.2952962496143647
causes fever infectious of respiratory,2.3446724706566573
cough fever headache,2.7992300166164052
flu for remedies the,2.486300118612464
rsv vaccine,2.1754738763494195
effects flu of side,2.4685715008502003
cow disease humans in mad,2.1056209230386376
pneumonia symptoms walking,2.5795054316441015
contagious mrsa,2.197884880395285
cold flu or the,2.4684583562365363
different flu of types,2.2102145677382152
cervical strain,2.420946077902029
hpv symptoms,2.5354763718584192
flu shots walgreen,2.7236151379613323
hepatitis of symptoms,2.3193578801959873
flu got have i,2.5158037928456047
and flu sore throat,2.826264677894849
aids of symptoms,2.1984418492090847
schedule vaccine,2.2748545396405695
cancer stomach symptoms,2.430745762043522
infections kidney,2.5245778703299715
game infection,2.4990127028959934
antiviral drugs,2.0757598789676974
diagnose symptoms,2.484378014317563
and flu pregnancy shot,2.564020372320547
h1n1 is what,1.8272071939394456
brain disease,2.224489099983027
and cold flu relief,2.753701410711927
fever symptoms yellow,2.67528259466923
flu for incubation time,2.675470530748287
effects flu shot side,2.549699008460702
children flu for jab,2.604475929182814
illnesses,2.376574452975661
contagious fever scarlet,2.477683826797185
infections symptoms yeast,2.5534148598264643
flu shot walgreens,2.6525048041822914
a flu get shot,2.5652286473249193
duration flu of the,2.3215460069768636
diagnosis health,2.378005030850545
bug stomach symptoms,2.6504070326236127
flu for incubation period,2.618401319885824
chest infections,2.5995956570038707
cough vaccination whooping,2.453377997783577
essential flu oils,2.67798699328532
disease gallbladder symptoms,2.4299519097937368
infection staph treatment,2.607291324300263
disease shingles,2.3732509720603896
dogs for rabies vaccine,2.2863076412301897
medical symptoms,2.4486103539541904
best flu food for,2.618758388085967
aids cure,2.072107277479847
melanoma symptoms,2.5354763718584192
disease eye,2.2260124928881515
mmr vaccine,2.2305265677830213
back flu pain with,2.7709453199542944
contagious flu is not the when,2.165515251097124
infection wound,2.5512212012067934
fungal infections,2.5128170477753256
cancer mouth symptoms,2.2753264936206508
flu of signs stomach the,2.3807245165846807
do flu have i,2.431005257627149
disease liver of symptoms,2.39532040452168
angeles flu los,2.438829232989202
liver symptoms,2.618469636186685
disease skin,2.2345937513461682
cdc immunizations,2.0167976074879115
and cold flu tylenol,2.8375692802588506
flu in new york,2.394080621743064
flu night sweats,2.7986945641489065
flu of sign the,2.234046432064761
disease lyme of symptoms,2.3505647571720387
pneumonia shot,2.4252830049363543
contagious flu how is long stomach,2.4334679150782135
cause fever,2.531516638072242
flu how the to treat,2.28780593682795
infection sepsis,2.62378943128012
infection symptoms tooth,2.706024304969426
eye strain,2.3078927412901415
conspiracy flu shot,2.4586357395233556
a flu have i,2.608646169450055
contagious cough whooping,2.301088729467859
and cold flu severe tylenol,2.805133211036288
and cold flu tablets,2.846289544027232
flu is the what,2.1538058488545864
strep symptoms,2.481533523179767
flu locator shot,2.6955871214542837
and influenza of signs symptoms,2.204008981113293
flu is the where,2.2207464464792026
diabetes symptoms,2.469495047673563
cold symptoms,2.755062695400499
salk vaccine,2.1754738763494195
encephalitis herpes,2.1145065121600686
hbv vaccine,2.1754738763494195
fungal pneumonia,2.614493755353226
diarrhea,2.2389640367288077
infection systemic,2.5481736725684248
flu get of rid,2.457413132463867
a cold flu or,2.681063408916473
b hepatitis vaccination,2.3502952034410627
fever pregnancy,2.6300574106912173
hospitalized,2.2055055641023364
fever rheumatic symptoms,2.7453887181484795
children in pneumonia symptoms,2.439550192842172
fever typhus,2.7364772677582385
mrsa symptoms,2.554044786048577
noro virus,2.2193254285452597
fever scarlet symptoms,2.706262778244184
fever rash,2.68240079713894
death ebola,1.9599503693100966
adults in pneumonia symptoms,2.4559457746194022
fever have,2.487376381768979
flu for home remedy,2.7825113022689245
hib vaccine,2.1754738763494195
diarrhea severe,2.379466900554374
disease meningococcal,2.2338079879869426
effects flu injection side,2.64802544189476
infection opportunistic,2.541470931784991
ear infection,2.614403670265618
flu for natural remedy,2.598458158930248
disease kidney,2.346378475742939
flu is man what,2.2081245123443263
cdc obesity,2.064818403530439
infection sinus,2.8171961393136695
flu getting pregnant the while,2.435384255775774
ailment,1.998667554963358
flu for home remedies,2.776104039528913
flu for kids shots,2.5612873567724077
can catch flu you,2.450121286160039
disease gum symptoms,2.4480033292348193
effects flu jab side,2.6470345679467
flu for natural remedies,2.5991255745613913
movie outbreak,2.0020712533669536
meningitis of symptoms,2.3839136705048696
cancer liver symptoms,2.390434094346597
symptoms ulcer,2.6130531334878238
disease heart,2.2434320048300203
flu got i the,2.4344964263742668
humans in rabies,2.113060395348119
nile of symptoms virus west,2.201936226118527
diseases emerging infectious,2.1261239930448124
diseases stomach,2.4639608548433793
are colds contagious,2.2128107905177687
aids treatment,2.1931369338680136
hiv test,2.148441442837832
flu having pregnant the while,2.43986380202389
fever signs,2.4730198621650414
prostate symptoms,2.4446538709838572
symptoms syphilis,2.4717556412811383
cough symptoms whooping,2.5656968304892427
breast cancer symptoms,2.2855467648137267
and flu of signs symptoms the,2.3230346001809976
rabies shots,2.2576175560092695
a hepatitis symptoms,2.4923021829192726
infection water,2.58616013684501
a flu how to treat,2.400987967236998
do flu shots work,2.6047822913549066
bubonic plague,2.2061938437640203
health ill,2.496400434354885
is pneumonia,2.2442634753365516
counter flu medicine over the,2.4694879397530025
fever sore,2.8561591844690772
infection toe,2.568989272252329
and flu have pregnant the,2.3634959696378255
infection mrsa staph,2.6021377127852787
anxiety symptoms,2.556873876450572
do flu how last long symptoms,2.457108640530514
hiv rash,2.2042273308659333
infection kidney of symptoms,2.547190147309927
problems respiratory,2.393029661021253
contagious is meningitis,2.135429761045701
disease lyme treatment,2.3979560744280572
do flu to what,2.252274086251405
new viruses,2.063302416892139
are flu of symptoms the what,2.2076790648072624
cure flu how the to,2.2500606229853686
flu jab tesco,2.780664022455241
chest infection of symptoms,2.595822083077129
measles rash,2.3463074764169756
corona virus,2.2253378134541197
flu have i stomach the,2.5039492430816424
autism symptoms,2.3739573941599437
a flu is what,2.259323731450564
cancer prostate symptoms,2.298087995627522
flu prevent the to ways,2.275678603709798
and capsules cold flu,2.861289914702226
first flu of signs the,2.2198039967472503
botulism symptoms,2.5354763718584192
flu how prevent the to,2.2120078206748066
poisoning salmonella,2.2500890207239403
coli e outbreak,2.100339381517383
adults fever,2.5416401771889148
flu in nc,2.5729710473801717
bug symptoms vomiting,2.6194560646480234
infected toe,2.2556501867333743
cough severe,2.5444136781659883
aspiration pneumonia,2.4467773861081374
pig sick,2.252111162132885
chronic disease lyme,2.369376166433597
contagious how influenza is long,2.05074334717179
b hepatitis symptoms,2.4923021829192726
fever hay symptoms,2.704442807089176
pregnancy tamiflu,2.270111767773273
infection staff,2.6366415722515173
test tuberculosis,2.274102971598172
infection sinus treat,2.784469948696387
bacterial diseases,2.2757338885435017
and cold flu for medicine,2.743531703390053
cardiovascular disease,2.294138172098281
breastfeeding flu the with,2.3942791365910048
fever toddler,2.6829971071127434
roto virus,2.1264816757277702
calf strain,2.504646816072068
disease graves symptoms,2.3263178598839387
celiac disease symptoms,2.4299519097937368
abdominal strain,2.500437358505864
diagnosis medical symptoms,2.443764537078753
of pneumonia symptoms the,2.289802958478935
can fever flu have without you,2.4724171146209497
causes fever infectious of,2.260292421632172
and boots cold flu,2.766928397485242
flu jab reaction to,2.5171908514236825
b flu is what,2.259323731450564
ear infections,2.5057781353630606
chronic diseases,2.308021474045644
disease game,2.202915536185885
disease venereal,2.2338079879869426
fever lassa,2.7364772677582385
in uk virus,2.096268651691926
are chest contagious infections,2.286636174545344
nile treatment virus west,2.196178348378971
infections sinus,2.7116108563075443
dog sick symptoms,2.5511987480620397
early flu of signs the,2.348190974298859
injection pneumonia,2.6082596592320013
intermittent pneumonia viral,2.3151257484972345
flu for incubation period stomach,2.68794162283442
a flu got i,2.683276024229186
cold viral,2.3411746452545503
disease legionnaires,2.2338079879869426
aid flu rite shots,2.548456165710485
does flu how live long the virus,2.203836598821808
infection symptoms vaginal,2.6504642656833624
bone infection,2.616652884306724
antibiotic for pneumonia,2.5031006677942984
schizophrenia symptoms,2.403435143445659
medication,2.613442907115516
around going virus,2.261570327536004
of salmonella symptoms,2.2943744020062278
contagious flu how is long the,2.2278263735881842
humans in of rabies symptoms,2.219221782438448
hiv transmission,2.0122691556249594
bladder infection,2.752860566154766
dangerous fever,2.484082877358596
cdc cough whooping,2.2935849939047506
eye infection treatment,2.5438720405907236
immunization,1.998667554963358
effective flu is shot the,2.2566312356203544
jab pneumonia,2.612039291001176
aids and hiv,2.025169479303658
shingles vaccination,2.4968836285728546
mono virus,2.2066267673314806
fever infant,2.636388492097648
cancer,2.0393801509796194
medicines,2.4379800920416264
infection urinary,2.6872494527612165
care respiratory,2.2710044590973304
area flu in my,2.4902835897898945
flu is stomach the what,2.2830520257860187
ear infection of symptoms,2.5525793937076418
cough medicines,2.5650460148835985
acute bronchitis,2.578552699621426
disease kidney of symptoms,2.361915780221705
appendicitis symptoms,2.6072807697683387
cough,2.506319477085455
infection of sinus symptoms,2.635281587443857
bronchitis chronic symptoms,2.598549003345345
stress symptoms,2.5182520288869927
back strain,2.4906555712059655
disease heart prevention,2.289197149212148
all symptoms,2.367996733427235
flu get of rid stomach,2.5531741386672033
disease heart of symptoms,2.3168523179943903
symptoms ulcers,2.6280247426673427
does flu shot work,2.5541590977899213
cancer lung symptoms,2.340874484156108
hypothermia symptoms,2.5926846875096903
groin strain,2.4735910954732603
colds prevent,2.4358482307545306
ebola in,1.9786528324745793
best flu for thing,2.4572795805160994
does flu how start the,2.2075922571568016
hantavirus symptoms,2.5354763718584192
disease vomiting winter,2.5098244303477752
fight flu how the to,2.204319980364245
child fever,2.5090412190075795
children tamiflu,2.1063276861053
and cold flu nyquil,2.825996963585596
bacteria virus vs,2.154011797708022
diseases medical,2.2615244323534416
chlamydia symptoms,2.461212833724656
cancer colon symptoms,2.2683577619004525
food poisoning symptoms,2.548522569606004
best flu foods for,2.585057940099286
christmas disease,2.3244846609512075
herpes medication,2.462200143155493
lice symptoms,2.463818095687131
infection kidney treatment,2.629203852435397
contagious infection is sinus,2.4784576553159745
and best cold flu medicine,2.765779601076166
dogs in rabies symptoms,2.3909047659361597
of pneumonia symptom,2.356804980252546
blisters fever,2.7531717384565586
diseases liver,2.413877123612052
essential flu for oil,2.4773812018023893
of poisoning salmonella symptoms,2.3361707031090013
contagious shingles,2.2449956450616564
flu francisco san,2.60948208680358
malaria pills,2.4650839034600494
meningitis treatment,2.474669750095039
cough fever no,2.4818716824065548
